location,ecc,orientation,hit_rate_session1,cr_rate_session1,hit_rate_session2,cr_rate_session2,hit_rate_session3,cr_rate_session3,hit_rate_session4,cr_rate_session4,hit_rate,cr_rate,n_present,n_absent,dp,pc_max
1,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,0.9682539682539683,57,63,4.2308,0.9828
2,4.0,0.0,0.9090909090909091,0.625,0.8235294117647058,0.7692307692307693,0.7647058823529411,0.9230769230769231,0.8333333333333334,0.9444444444444444,0.8382352941176471,0.8461538461538461,68,52,2.0073,0.8422
3,8.0,0.0,0.5,0.6666666666666666,0.5789473684210527,0.9090909090909091,0.7692307692307693,0.8823529411764706,0.4,0.95,0.5666666666666667,0.8666666666666667,60,60,1.2787,0.7387
4,6.929,0.083,0.8,0.9333333333333333,0.8333333333333334,0.7222222222222222,0.8636363636363636,0.625,0.8333333333333334,0.9444444444444444,0.8360655737704918,0.8305084745762712,61,59,1.9346,0.8333
5,8.0,0.167,0.6923076923076923,0.7058823529411765,0.7857142857142857,0.8125,0.7142857142857143,0.75,0.5333333333333333,0.9333333333333333,0.6785714285714286,0.796875,56,64,1.2942,0.7412
6,6.929,0.25,0.8333333333333334,0.9444444444444444,0.7222222222222222,0.8333333333333334,0.4166666666666667,0.8888888888888888,0.7777777777777778,0.9166666666666666,0.7,0.9,60,60,1.806,0.8167
7,8.0,0.333,0.9444444444444444,0.8333333333333334,0.7333333333333333,1.0,0.8823529411764706,0.8461538461538461,0.8333333333333334,0.6666666666666666,0.8529411764705882,0.8461538461538461,68,52,2.0692,0.8496
8,6.929,0.417,0.7333333333333333,0.8666666666666667,0.6875,0.8571428571428571,0.5714285714285714,0.875,0.6428571428571429,1.0,0.6610169491525424,0.9016393442622951,59,61,1.7062,0.8032
9,4.0,0.333,0.7647058823529411,0.9230769230769231,0.9375,1.0,1.0,1.0,1.0,1.0,0.921875,0.9821428571428571,64,56,3.518,0.9607
10,4.0,0.167,0.875,0.8571428571428571,0.8947368421052632,0.8181818181818182,0.75,0.7777777777777778,0.8888888888888888,1.0,0.8615384615384616,0.8545454545454545,65,55,2.1434,0.8581
11,4.0,0.5,1.0,0.875,1.0,1.0,1.0,0.9285714285714286,1.0,0.9285714285714286,1.0,0.9344262295081968,59,61,3.8974,0.9743
12,8.0,0.5,0.7222222222222222,0.8333333333333334,0.75,1.0,0.7647058823529411,1.0,0.75,1.0,0.746268656716418,0.9622641509433962,67,53,2.4404,0.8888
13,6.929,0.583,0.38461538461538464,1.0,0.3333333333333333,1.0,0.8461538461538461,0.9411764705882353,0.7894736842105263,1.0,0.6296296296296297,0.9848484848484849,54,66,2.497,0.8941
14,4.0,0.667,1.0,0.9444444444444444,0.7777777777777778,1.0,0.8666666666666667,0.9333333333333333,0.9285714285714286,1.0,0.8813559322033898,0.9672131147540983,59,61,3.0231,0.9347
15,4.0,0.833,0.6363636363636364,0.9473684210526315,0.8181818181818182,0.875,0.75,1.0,0.75,1.0,0.7534246575342466,0.9574468085106383,73,47,2.4071,0.8856
16,6.929,0.917,0.6470588235294118,0.9230769230769231,0.6923076923076923,0.7058823529411765,0.6428571428571429,0.875,0.75,0.8571428571428571,0.6833333333333333,0.8333333333333334,60,60,1.4445,0.7649
17,8.0,0.833,0.4,0.6,0.631578947368421,0.6363636363636364,0.4117647058823529,0.9230769230769231,0.3076923076923077,0.9411764705882353,0.453125,0.7857142857142857,64,56,0.6739,0.6319
18,6.929,0.75,0.5789473684210527,1.0,0.5,0.7,0.6,0.9333333333333333,0.5625,1.0,0.5666666666666667,0.8833333333333333,60,60,1.3597,0.7517
19,8.0,0.667,0.4117647058823529,1.0,0.35714285714285715,0.8125,0.3333333333333333,1.0,0.42857142857142855,0.9375,0.38596491228070173,0.9365079365079365,57,63,1.2363,0.7318
