location,ecc,orientation,hit_rate_session1,miss_rate_session1,hit_rate_session2,miss_rate_session2,hit_rate_session3,miss_rate_session3,hit_rate,miss_rate,n_present
1,0.0,-1.0,0.7391304347826086,0.21739130434782608,0.9666666666666667,0.03333333333333333,0.8,0.16,0.8461538461538461,0.1282051282051282,78
2,4.0,0.0,0.7368421052631579,0.2631578947368421,0.7857142857142857,0.21428571428571427,0.8888888888888888,0.1111111111111111,0.803921568627451,0.19607843137254902,51
3,8.0,0.0,0.4,0.56,0.21052631578947367,0.6842105263157895,0.38461538461538464,0.5384615384615384,0.34285714285714286,0.5857142857142857,70
4,6.929,0.083,0.6111111111111112,0.2777777777777778,0.5555555555555556,0.3333333333333333,0.25,0.65,0.4642857142857143,0.42857142857142855,56
5,8.0,0.167,0.3448275862068966,0.41379310344827586,0.0,0.8823529411764706,0.041666666666666664,0.875,0.15714285714285714,0.6857142857142857,70
6,6.929,0.25,0.08333333333333333,0.7083333333333334,0.047619047619047616,0.9047619047619048,0.08333333333333333,0.8333333333333334,0.07246376811594203,0.8115942028985508,69
7,8.0,0.333,0.05555555555555555,0.8333333333333334,0.043478260869565216,0.9130434782608695,0.10526315789473684,0.8421052631578947,0.06666666666666667,0.8666666666666667,60
8,6.929,0.417,0.125,0.875,0.14285714285714285,0.8571428571428571,0.25,0.6,0.18,0.76,50
9,4.0,0.333,0.6666666666666666,0.26666666666666666,0.3888888888888889,0.5555555555555556,0.8571428571428571,0.14285714285714285,0.6481481481481481,0.3148148148148148,54
10,4.0,0.167,0.5555555555555556,0.4444444444444444,0.7777777777777778,0.16666666666666666,0.7368421052631579,0.2631578947368421,0.6909090909090909,0.2909090909090909,55
11,4.0,0.5,0.75,0.25,0.6521739130434783,0.34782608695652173,0.8484848484848485,0.15151515151515152,0.7638888888888888,0.2361111111111111,72
12,8.0,0.5,0.25,0.5416666666666666,0.20833333333333334,0.7083333333333334,0.4375,0.5625,0.28125,0.609375,64
13,6.929,0.583,0.85,0.15,0.52,0.4,0.6666666666666666,0.2916666666666667,0.6666666666666666,0.2898550724637681,69
14,4.0,0.667,0.7,0.3,0.8620689655172413,0.13793103448275862,0.8571428571428571,0.14285714285714285,0.8142857142857143,0.18571428571428572,70
15,4.0,0.833,0.7857142857142857,0.17857142857142858,0.5238095238095238,0.47619047619047616,0.7647058823529411,0.23529411764705882,0.696969696969697,0.2878787878787879,66
16,6.929,0.917,0.39285714285714285,0.5357142857142857,0.2857142857142857,0.5714285714285714,0.6111111111111112,0.3888888888888889,0.43333333333333335,0.5,60
17,8.0,0.833,0.32,0.6,0.375,0.375,0.25,0.7,0.3114754098360656,0.5737704918032787,61
18,6.929,0.75,0.21428571428571427,0.6428571428571429,0.2647058823529412,0.6470588235294118,0.5555555555555556,0.3888888888888889,0.3333333333333333,0.5757575757575758,66
19,8.0,0.667,0.45454545454545453,0.5,0.1875,0.625,0.5238095238095238,0.42857142857142855,0.4067796610169492,0.5084745762711864,59
