id,ecc,hit_rate,miss_rate,fa_rate,present_count,hit_count,miss_count,fa_count,fh_from_count,fh_to_count,orientation
1,0.0,0.7391304347826086,0.21739130434782608,0.01507537688442211,23,17,5,6,1,2,-1.0
2,4.0,0.7368421052631579,0.2631578947368421,0.005025125628140704,19,14,5,2,0,1,0.0
3,8.0,0.4,0.56,0.002512562814070352,25,10,14,1,1,1,0.0
4,6.929,0.6111111111111112,0.2777777777777778,0.010050251256281407,18,11,5,4,2,1,0.083
5,8.0,0.3448275862068966,0.41379310344827586,0.002512562814070352,29,10,12,1,7,1,0.167
6,6.929,0.08333333333333333,0.7083333333333334,0.005025125628140704,24,2,17,2,5,1,0.25
7,8.0,0.05555555555555555,0.8333333333333334,0.002512562814070352,18,1,15,1,2,0,0.333
8,6.929,0.125,0.875,0.002512562814070352,16,2,14,1,0,0,0.417
9,4.0,0.6666666666666666,0.26666666666666666,0.01256281407035176,15,10,4,5,1,6,0.333
10,4.0,0.5555555555555556,0.4444444444444444,0.01256281407035176,18,10,8,5,0,0,0.167
11,4.0,0.75,0.25,0.01507537688442211,16,12,4,6,0,0,0.5
12,8.0,0.25,0.5416666666666666,0.005025125628140704,24,6,13,2,5,0,0.5
13,6.929,0.85,0.15,0.007537688442211055,20,17,3,3,0,2,0.583
14,4.0,0.7,0.3,0.01256281407035176,20,14,6,5,0,4,0.667
15,4.0,0.7857142857142857,0.17857142857142858,0.007537688442211055,28,22,5,3,1,4,0.833
16,6.929,0.39285714285714285,0.5357142857142857,0.002512562814070352,28,11,15,1,2,0,0.917
17,8.0,0.32,0.6,0.017587939698492462,25,8,15,7,2,1,0.833
18,6.929,0.21428571428571427,0.6428571428571429,0.010050251256281407,14,3,9,4,2,2,0.75
19,8.0,0.45454545454545453,0.5,0.010050251256281407,22,10,11,4,1,6,0.667
