amplitude,presence,response_presence,reaction_time
3.0,0,1,0.3899
3.0,0,0,0.5202
3.0,1,1,0.2221
3.0,0,0,0.4137
3.0,1,0,0.3778
3.0,0,1,0.1737
3.0,0,1,0.2439
3.0,1,1,0.252
3.0,1,1,0.23
3.0,1,0,0.2559
3.0,0,0,0.2883
3.0,1,1,0.1986
3.0,1,1,0.2819
3.0,0,0,0.258
3.0,0,1,0.2341
3.0,0,0,0.342
3.0,0,0,0.358
3.0,0,0,0.354
3.0,1,1,0.1338
3.0,0,0,0.2998
3.0,1,1,0.23
3.0,1,1,0.1501
3.0,0,0,0.2199
3.0,0,0,0.308
3.0,1,0,0.2279
3.0,1,1,0.16
3.0,1,1,0.244
3.0,0,0,0.206
3.0,1,1,0.1599
3.0,0,0,0.5018
3.0,1,1,0.1879
3.0,0,0,0.336
3.0,0,0,0.2783
3.0,1,1,0.1679
3.0,1,1,0.1262
3.0,1,1,0.134
3.0,1,1,0.1661
3.0,0,0,0.314
3.0,1,1,0.1759
3.0,1,1,0.1481
2.7444,0,0,0.42
2.7444,0,0,0.2781
2.7444,0,1,0.3498
2.7444,1,1,0.2026
2.7444,0,0,0.2161
2.7444,0,0,0.3781
2.7444,0,0,0.3838
2.7444,0,0,0.4177
2.7444,1,1,0.3106
2.7444,0,0,0.2599
2.7444,0,0,0.374
2.7444,1,1,0.2259
2.7444,0,0,0.3329
2.7444,1,1,0.2681
2.7444,0,0,0.2699
2.7444,0,0,0.328
2.7444,0,0,0.2466
2.7444,0,0,0.2881
2.7444,1,1,0.2164
2.7444,0,0,0.2678
2.7444,1,1,0.2141
2.7444,0,0,0.5123
2.7444,0,0,0.3118
2.7444,0,0,0.334
2.7444,1,1,0.3878
2.7444,0,0,0.3582
2.7444,1,1,0.1641
2.7444,0,0,0.3059
2.7444,1,1,0.2819
2.7444,1,1,0.426
2.7444,0,0,0.3319
2.7444,0,0,0.2979
2.7444,1,1,0.3299
2.7444,1,1,0.2079
2.7444,1,1,0.2279
2.7444,1,1,0.2461
2.7444,0,0,0.3357
2.7444,1,1,0.3078
2.7444,1,1,0.3398
2.7444,1,1,0.1619
2.4889,0,0,0.4321
2.4889,0,0,0.3622
2.4889,0,0,0.3443
2.4889,1,1,0.2606
2.4889,0,0,0.3498
2.4889,0,1,0.5716
2.4889,0,0,0.2798
2.4889,1,1,0.4781
2.4889,0,0,0.3026
2.4889,1,1,0.1821
2.4889,0,0,0.2738
2.4889,1,1,0.2584
2.4889,1,1,0.18
2.4889,1,1,0.1461
2.4889,1,1,0.1845
2.4889,1,1,0.1239
2.4889,1,1,0.1461
2.4889,1,1,0.5359
2.4889,0,0,0.2384
2.4889,0,0,0.2005
2.4889,0,0,0.4379
2.4889,1,1,0.224
2.4889,1,1,0.2278
2.4889,0,0,0.6639
2.4889,0,0,0.4238
2.4889,1,1,0.1941
2.4889,0,0,0.3499
2.4889,1,1,0.2178
2.4889,1,1,0.156
2.4889,1,1,0.2438
2.4889,0,0,0.4137
2.4889,1,1,0.5139
2.4889,0,0,0.2802
2.4889,0,0,0.2799
2.4889,0,0,0.3758
2.4889,0,0,0.2279
2.4889,0,0,0.2778
2.4889,1,1,0.262
2.4889,1,1,0.2539
2.4889,1,1,0.1739
2.2333,0,1,0.5039
2.2333,1,1,0.4543
2.2333,0,0,0.368
2.2333,0,0,0.3341
2.2333,1,1,0.5396
2.2333,1,1,0.2901
2.2333,0,0,0.4261
2.2333,0,0,0.5657
2.2333,0,0,0.4193
2.2333,0,0,0.368
2.2333,0,0,0.5719
2.2333,0,0,0.2499
2.2333,0,0,0.2179
2.2333,0,0,0.3244
2.2333,1,0,0.3061
2.2333,0,0,0.3698
2.2333,0,1,0.3981
2.2333,0,0,0.2878
2.2333,1,1,0.3621
2.2333,1,1,0.2158
2.2333,0,0,0.3419
2.2333,1,1,0.1799
2.2333,0,0,0.2557
2.2333,1,1,0.2819
2.2333,0,0,0.3478
2.2333,1,1,0.4258
2.2333,0,0,0.2839
2.2333,1,1,0.4617
2.2333,1,1,0.2881
2.2333,1,1,0.4478
2.2333,0,0,0.2819
2.2333,0,0,0.2818
2.2333,0,0,0.3457
2.2333,1,0,0.3995
2.2333,0,1,0.2863
2.2333,0,0,0.2839
2.2333,0,0,0.254
2.2333,0,0,0.3338
2.2333,0,1,0.4043
2.2333,1,1,0.2241
1.9778,0,0,0.4038
1.9778,0,0,0.2779
1.9778,1,1,0.2705
1.9778,0,0,0.2719
1.9778,1,1,0.2401
1.9778,1,1,0.2181
1.9778,0,0,0.2699
1.9778,0,1,0.3817
1.9778,0,0,0.3618
1.9778,1,1,0.3916
1.9778,0,0,0.364
1.9778,0,0,0.4021
1.9778,0,0,0.3658
1.9778,0,0,0.3461
1.9778,0,0,0.4796
1.9778,1,1,0.3998
1.9778,0,0,0.2978
1.9778,1,0,0.3641
1.9778,1,1,0.25
1.9778,0,0,0.3319
1.9778,0,0,0.3543
1.9778,0,0,0.3187
1.9778,1,1,0.2141
1.9778,0,0,0.4818
1.9778,1,0,0.3357
1.9778,0,0,0.3421
1.9778,0,0,0.3559
1.9778,0,0,0.2818
1.9778,1,1,0.2844
1.9778,0,0,0.4198
1.9778,1,1,0.2259
1.9778,1,1,0.2539
1.9778,0,0,0.2658
1.9778,0,1,0.426
1.9778,1,1,0.3178
1.9778,1,0,0.5658
1.9778,0,0,0.3956
1.9778,0,0,0.6396
1.9778,1,1,0.2082
1.9778,0,0,0.2599
1.7222,0,0,0.314
1.7222,1,0,0.426
1.7222,0,1,0.3238
1.7222,1,0,0.3084
1.7222,0,0,0.332
1.7222,1,0,0.3243
1.7222,0,1,0.5062
1.7222,0,0,0.3859
1.7222,0,1,0.4618
1.7222,0,0,0.268
1.7222,0,1,0.4006
1.7222,1,1,0.332
1.7222,0,0,0.258
1.7222,0,0,0.3481
1.7222,1,1,0.4897
1.7222,1,1,0.2399
1.7222,0,0,0.2421
1.7222,1,1,0.302
1.7222,0,0,0.2621
1.7222,0,0,0.5743
1.7222,1,1,0.2658
1.7222,0,0,0.274
1.7222,0,0,0.3319
1.7222,1,1,0.2199
1.7222,1,1,0.1899
1.7222,1,1,0.3478
1.7222,0,0,0.2961
1.7222,0,1,0.2638
1.7222,0,1,0.2258
1.7222,1,1,0.342
1.7222,1,1,0.3078
1.7222,0,0,0.26
1.7222,1,1,0.2358
1.7222,0,0,0.2858
1.7222,1,1,0.2219
1.7222,1,0,0.6016
1.7222,0,0,0.3379
1.7222,1,0,0.402
1.7222,1,1,0.1642
1.7222,1,1,0.1939
1.4667,0,0,0.354
1.4667,1,0,0.2803
1.4667,0,0,0.4639
1.4667,0,0,0.506
1.4667,1,1,0.2099
1.4667,1,0,0.5641
