session,amplitude,location,response_location,reaction_time
1,3.12,6,17,0.7325
1,3.12,15,0,0.5801
1,3.12,16,19,1.4745
1,3.12,0,0,0.6486
1,3.12,0,0,0.3726
1,3.12,0,15,0.6425
1,3.12,9,9,0.9374
1,3.12,0,0,0.6441
1,3.12,2,0,1.548
1,3.12,14,0,0.4256
1,3.12,17,17,0.8915
1,3.12,4,4,0.8878
1,3.12,0,19,1.5333
1,3.12,0,0,0.4868
1,3.12,0,0,0.6018
1,3.12,18,18,0.9159
1,3.12,0,0,0.4797
1,3.12,0,0,0.4019
1,3.12,0,0,0.5394
1,3.12,0,0,0.6422
2,3.12,15,15,0.6048
2,3.12,0,0,0.5392
2,3.12,11,0,0.3843
2,3.12,0,0,0.3347
2,3.12,16,16,0.7465
2,3.12,0,0,0.2806
2,3.12,1,1,0.2065
2,3.12,0,0,0.6262
2,3.12,0,0,0.6202
2,3.12,15,15,0.3963
2,3.12,0,0,0.3648
2,3.12,0,0,0.3401
2,3.12,16,16,0.6975
2,3.12,0,0,0.3284
2,3.12,0,0,0.4821
2,3.12,2,2,0.5739
2,3.12,5,0,0.3247
2,3.12,0,0,0.3665
2,3.12,0,0,0.3543
2,3.12,11,11,0.436
3,3.12,1,1,0.4793
3,3.12,12,12,0.7245
3,3.12,0,0,0.8826
3,3.12,0,0,0.9205
3,3.12,0,0,0.6593
3,3.12,12,12,0.715
3,3.12,6,0,0.4187
3,3.12,6,0,0.3381
3,3.12,16,16,0.9835
3,3.12,0,0,0.3557
3,3.12,0,0,0.5165
3,3.12,6,0,0.416
3,3.12,15,15,0.622
3,3.12,15,15,0.4885
3,3.12,0,0,0.3705
3,3.12,11,11,0.5962
3,3.12,11,0,0.555
3,3.12,6,0,0.3523
3,3.12,0,0,0.4526
3,3.12,17,0,0.4903
4,3.12,0,0,0.3325
4,3.12,3,0,0.5207
4,3.12,3,0,0.532
4,3.12,14,14,0.6451
4,3.12,2,0,0.4554
4,3.12,0,17,0.8038
4,3.12,0,0,0.4684
4,3.12,0,0,0.4222
4,3.12,5,9,0.86
4,3.12,3,3,0.6936
4,3.12,0,0,0.5083
4,3.12,15,0,0.4519
4,3.12,0,19,0.8499
4,3.12,0,0,0.5436
4,3.12,0,0,0.5121
4,3.12,8,0,0.407
4,3.12,0,0,0.8196
4,3.12,12,3,0.853
4,3.12,0,17,0.6973
4,3.12,6,0,0.3906
1,3.12,0,0,0.424
1,3.12,0,0,0.546
1,3.12,0,0,0.5002
1,3.12,12,0,0.4755
1,3.12,13,13,0.8954
1,3.12,10,10,0.5528
1,3.12,0,0,0.3959
1,3.12,0,0,0.34
1,3.12,0,0,0.4742
1,3.12,6,0,0.4424
1,3.12,1,0,0.3541
1,3.12,16,16,0.8505
1,3.12,9,9,0.6631
1,3.12,12,18,0.8245
1,3.12,0,0,0.9077
1,3.12,16,0,0.5521
