id,ecc,hit_rate,miss_rate,fa_rate,present_count,hit_count,miss_count,fa_count,fh_from_count,fh_to_count,orientation
1,0.0,0.875,0.125,0.0,24,21,3,0,0,0,-1.0
2,4.0,0.0625,0.9375,0.0025,16,1,15,1,0,0,0.0
3,8.0,0.0,0.9047619047619048,0.0,21,0,19,0,2,0,0.0
4,6.929,0.05,0.95,0.0,20,1,19,0,0,1,0.083
5,8.0,0.0,0.9166666666666666,0.0,24,0,22,0,2,1,0.167
6,6.929,0.1724137931034483,0.8275862068965517,0.0,29,5,24,0,0,1,0.25
7,8.0,0.5294117647058824,0.47058823529411764,0.0075,17,9,8,3,0,0,0.333
8,6.929,0.09523809523809523,0.8571428571428571,0.0025,21,2,18,1,1,1,0.417
9,4.0,0.4642857142857143,0.5,0.0,28,13,14,0,1,0,0.333
10,4.0,0.35294117647058826,0.6470588235294118,0.0025,17,6,11,1,0,2,0.167
11,4.0,0.9230769230769231,0.07692307692307693,0.0075,13,12,1,3,0,2,0.5
12,8.0,0.13636363636363635,0.8636363636363636,0.0025,22,3,19,1,0,0,0.5
13,6.929,0.30434782608695654,0.6956521739130435,0.0025,23,7,16,1,0,0,0.583
14,4.0,0.4166666666666667,0.4166666666666667,0.0,12,5,5,0,2,1,0.667
15,4.0,0.3333333333333333,0.6666666666666666,0.0025,27,9,18,1,0,1,0.833
16,6.929,0.0,0.9444444444444444,0.0,18,0,17,0,1,0,0.917
17,8.0,0.0,1.0,0.0,25,0,25,0,0,0,0.833
18,6.929,0.0,0.9565217391304348,0.0,23,0,22,0,1,0,0.75
19,8.0,0.0,1.0,0.0,20,0,20,0,0,0,0.667
