amplitude,location,response_location,reaction_time
3.12,0,0,0.539
3.12,14,14,0.6873
3.12,2,2,0.7669
3.12,0,0,0.6281
3.12,9,9,0.5083
3.12,0,0,0.4505
3.12,14,14,0.4664
3.12,0,0,0.4642
3.12,15,15,0.6079
3.12,0,0,0.4741
3.12,0,10,0.6162
3.12,15,15,0.4597
3.12,0,11,0.56
3.12,14,14,0.424
3.12,15,15,0.4743
3.12,0,0,0.4543
3.12,2,2,0.373
3.12,0,0,0.4896
3.12,0,0,0.6112
3.12,0,0,0.6121
3.12,0,1,0.5639
3.12,2,2,0.4737
3.12,0,0,0.5903
3.12,0,0,0.3964
3.12,11,11,0.4545
3.12,11,11,0.404
3.12,0,0,0.3629
3.12,0,0,0.5275
3.12,0,0,0.4824
3.12,11,11,0.5682
3.12,10,10,0.5659
3.12,11,11,0.4521
3.12,0,0,0.4159
3.12,11,11,0.4258
3.12,1,1,0.4146
3.12,10,10,0.4374
3.12,0,0,0.3488
3.12,0,0,0.4345
3.12,9,9,0.6304
3.12,11,0,0.3921
3.12,2,2,0.5421
3.12,15,15,0.3887
3.12,14,14,0.4564
3.12,2,2,0.4944
3.12,2,2,0.4824
3.12,11,11,0.5309
3.12,0,0,0.3462
3.12,9,9,0.7864
3.12,2,2,0.4704
3.12,0,0,0.6788
3.12,1,1,0.4702
3.12,2,2,0.5573
3.12,2,0,0.5518
3.12,0,14,0.5733
3.12,14,14,0.4446
3.12,15,15,0.6761
3.12,0,0,0.3124
3.12,2,2,0.4443
3.12,14,14,0.5745
3.12,0,0,0.5282
3.12,0,0,0.3443
3.12,0,0,0.4283
3.12,15,15,0.7401
3.12,15,15,0.5972
3.12,0,0,0.5385
3.12,9,9,0.5398
3.12,2,0,0.3241
3.12,0,0,0.4504
3.12,10,10,0.704
3.12,0,0,0.2926
3.12,14,14,0.5284
3.12,0,0,0.3539
3.12,10,10,0.4861
3.12,0,0,0.4007
3.12,1,1,0.4125
3.12,0,0,0.3664
3.12,11,0,0.4122
3.12,0,0,0.3197
3.12,0,0,0.4027
3.12,9,9,0.4663
3.12,15,15,0.4344
3.12,1,1,0.418
3.12,14,14,0.5092
3.12,10,0,0.5381
3.12,0,9,0.5748
3.12,14,14,0.4224
3.12,0,0,0.3364
3.12,11,11,0.4562
3.12,10,10,0.4706
3.12,0,0,0.3342
3.12,11,11,0.4853
3.12,0,0,0.4681
3.12,1,1,0.4987
3.12,10,14,0.748
3.12,1,1,0.4479
3.12,0,14,0.5093
3.12,0,0,0.2659
3.12,0,0,0.3087
3.12,0,0,0.4341
3.12,0,0,0.2758
3.12,0,0,0.5459
3.12,15,15,0.4823
3.12,9,9,0.6545
3.12,11,0,0.5979
3.12,14,14,0.5277
3.12,0,0,0.2784
3.12,1,1,0.3619
3.12,0,15,0.4147
3.12,11,11,0.5226
3.12,0,0,0.3184
3.12,9,0,0.5185
3.12,10,10,0.5812
3.12,0,10,0.6265
3.12,0,0,0.392
3.12,0,0,0.5403
3.12,0,0,0.5558
3.12,0,0,0.4176
3.12,1,1,0.5158
3.12,2,2,0.4521
3.12,0,0,0.3445
3.12,0,0,0.2732
3.12,0,0,0.3224
3.12,0,0,0.4465
3.12,0,11,0.5998
3.12,0,0,0.4921
3.12,0,14,0.5161
3.12,0,0,0.3967
3.12,0,0,0.3464
3.12,0,11,0.5085
3.12,0,9,0.5756
3.12,0,0,0.5223
3.12,0,0,0.4316
3.12,14,14,0.4416
3.12,11,11,0.4698
3.12,15,15,0.4744
3.12,15,15,0.3891
3.12,0,0,0.2723
3.12,0,15,0.8373
3.12,0,0,0.7046
3.12,0,0,0.2285
3.12,0,0,0.7339
3.12,0,0,0.3806
3.12,0,0,0.3196
3.12,2,2,0.486
3.12,15,15,0.462
3.12,0,0,0.3207
3.12,14,14,0.4439
3.12,1,1,0.4241
3.12,1,1,0.4798
3.12,11,11,0.4918
3.12,9,0,0.6778
3.12,2,2,0.4408
3.12,11,11,0.5018
3.12,0,0,0.8268
3.12,1,1,0.4681
3.12,0,0,0.3105
3.12,10,10,0.4944
3.12,0,0,0.3491
3.12,2,2,0.4665
3.12,0,0,0.4059
3.12,2,2,0.4522
3.12,0,15,0.6549
3.12,0,0,0.6803
3.12,0,0,0.3209
3.12,14,14,0.523
3.12,11,11,0.3798
3.12,0,0,0.3028
3.12,15,15,0.5198
3.12,15,15,0.5125
3.12,15,0,0.3263
3.12,11,11,0.4716
3.12,11,11,0.5417
3.12,0,0,0.5818
3.12,1,1,0.3717
3.12,0,0,0.3815
3.12,0,0,0.3917
3.12,0,0,0.3087
3.12,14,14,0.4776
3.12,14,14,0.4848
3.12,14,14,0.3843
3.12,2,2,0.5183
3.12,0,0,0.3185
3.12,0,0,0.3281
3.12,11,11,0.5385
3.12,0,0,0.4119
3.12,14,14,0.4104
3.12,9,0,0.3919
3.12,11,11,0.5204
3.12,10,0,0.3804
3.12,2,2,0.5123
3.12,0,0,0.5929
3.12,2,0,0.5494
3.12,0,0,0.3224
3.12,0,0,0.3531
3.12,1,1,0.4708
3.12,0,0,0.3585
3.12,2,2,0.4359
3.12,0,0,0.3522
3.12,15,15,0.7742
3.12,14,14,0.4709
3.12,0,0,0.4447
3.12,11,11,0.4626
3.12,0,0,0.3439
3.12,0,0,0.3347
3.12,0,0,0.4209
3.12,15,15,0.4964
3.12,0,0,0.3612
3.12,0,0,0.3841
3.12,0,0,0.3843
3.12,14,14,0.8164
3.12,1,1,0.4715
3.12,10,10,0.68
3.12,0,0,0.4684
3.12,2,2,0.5115
3.12,0,0,0.4679
3.12,9,0,0.3321
3.12,0,0,0.3246
3.12,9,9,0.5209
3.12,0,0,0.3828
3.12,15,0,0.427
3.12,2,2,0.4704
3.12,2,2,0.4667
3.12,0,0,0.3237
3.12,0,0,0.3466
3.12,0,0,0.3438
3.12,1,1,0.6441
3.12,15,15,0.5102
3.12,0,0,0.4335
3.12,0,0,0.324
3.12,0,11,0.7422
3.12,0,0,0.6862
3.12,0,0,0.3285
3.12,0,0,0.3261
3.12,14,14,0.4331
3.12,15,15,0.5386
3.12,2,2,0.5044
3.12,11,11,0.5052
3.12,0,0,0.2931
3.12,9,9,0.7164
3.12,0,0,0.3096
3.12,0,0,0.3462
3.12,9,0,0.6302
3.12,2,2,0.5225
3.12,0,0,0.5743
3.12,10,10,0.4977
3.12,0,0,0.6423
3.12,0,0,0.3523
3.12,14,14,0.4614
3.12,9,9,0.5159
3.12,11,11,0.522
3.12,0,0,0.5379
3.12,9,9,0.5895
3.12,10,10,0.3977
3.12,0,0,0.3881
3.12,9,9,0.552
3.12,15,15,0.4506
3.12,0,0,0.2538
3.12,0,0,0.2938
3.12,2,2,0.532
3.12,9,14,0.6861
3.12,15,9,2.3635
3.12,11,11,0.5297
3.12,15,15,0.7978
3.12,10,0,0.3318
3.12,14,14,0.4525
3.12,15,15,0.5707
3.12,14,14,0.414
3.12,9,9,0.3841
3.12,11,0,0.4037
3.12,0,0,0.3944
3.12,14,14,0.5764
3.12,0,0,0.4963
3.12,0,0,0.5443
3.12,0,0,0.3989
3.12,11,11,0.4673
3.12,0,0,0.6218
3.12,11,11,0.4729
3.12,0,0,0.338
3.12,0,0,0.3367
3.12,14,14,0.5304
3.12,0,0,0.5767
3.12,1,1,0.434
3.12,0,0,0.5101
3.12,0,0,0.3045
3.12,11,11,0.4542
3.12,0,14,0.5968
3.12,14,14,0.5204
3.12,0,0,0.3763
3.12,1,1,0.4268
3.12,10,0,0.9253
3.12,15,15,0.4882
3.12,15,15,0.5503
3.12,0,0,0.3424
3.12,0,0,0.43
3.12,0,0,0.3238
3.12,1,0,0.3792
3.12,0,0,0.2898
3.12,0,0,0.2822
3.12,0,0,0.3339
3.12,0,0,0.2838
3.12,2,2,0.5073
3.12,0,0,0.3058
3.12,0,0,0.3285
3.12,0,0,0.2807
3.12,10,0,0.5363
3.12,1,1,0.5028
3.12,0,0,0.6145
3.12,0,0,0.2558
3.12,0,0,0.3337
3.12,0,0,0.298
3.12,2,2,0.6202
3.12,0,0,0.3642
3.12,11,11,0.5185
3.12,0,0,0.3368
3.12,11,11,0.4765
3.12,10,10,0.5244
3.12,0,0,0.4808
3.12,0,0,0.3053
3.12,0,0,0.4624
3.12,0,0,0.7397
3.12,1,1,0.6402
3.12,0,0,0.6348
3.12,0,0,0.5082
3.12,9,9,0.6105
3.12,11,11,0.5225
3.12,0,0,0.5199
3.12,1,1,0.5447
3.12,1,1,0.4444
3.12,0,0,0.4482
3.12,15,15,0.5254
3.12,10,10,0.8516
3.12,0,0,0.468
3.12,1,1,0.3974
3.12,2,2,0.5797
3.12,0,0,0.3344
3.12,2,2,0.501
3.12,0,0,0.2417
3.12,1,1,0.5138
3.12,0,14,0.6145
3.12,0,0,0.2667
3.12,0,1,0.5102
3.12,0,0,0.2811
3.12,1,1,0.5778
3.12,2,0,0.5305
3.12,0,0,0.5141
3.12,2,2,0.5594
3.12,0,0,0.4044
3.12,0,0,0.488
3.12,9,9,0.5923
3.12,0,0,0.4279
3.12,0,0,0.5858
3.12,10,10,0.6363
3.12,10,10,0.625
3.12,10,10,0.4906
3.12,0,0,0.4607
3.12,0,0,0.3024
3.12,0,0,0.2705
3.12,2,2,0.514
3.12,14,14,0.5244
3.12,11,0,0.4527
3.12,15,15,0.4482
3.12,0,0,0.4122
3.12,0,0,0.3006
3.12,0,0,0.3659
3.12,15,15,0.5084
3.12,0,0,0.2268
3.12,0,0,0.6344
3.12,1,1,0.3977
3.12,11,11,0.4825
3.12,14,0,0.5199
3.12,0,0,0.6251
3.12,9,0,0.3831
3.12,0,0,0.3166
3.12,0,0,0.4641
3.12,0,0,0.3934
3.12,0,0,0.4162
3.12,0,0,0.2663
3.12,15,15,0.5038
3.12,11,0,0.532
3.12,11,11,0.4906
3.12,2,0,0.7694
3.12,14,14,0.5265
3.12,0,0,0.3716
3.12,0,0,0.6285
3.12,0,0,0.3364
3.12,15,15,0.4618
3.12,0,0,0.604
3.12,2,2,0.4299
3.12,2,2,0.5366
3.12,9,0,0.5152
3.12,0,0,0.4363
3.12,0,0,0.6178
3.12,2,0,0.3486
3.12,15,15,0.5164
3.12,15,15,0.4669
3.12,10,0,0.2924
3.12,0,0,0.5041
3.12,0,0,0.2901
3.12,0,0,0.5524
3.12,10,10,0.7983
3.12,0,2,0.4946
3.12,11,11,0.4878
3.12,0,0,0.6395
3.12,0,0,0.3558
3.12,0,0,0.5881
3.12,9,9,0.4947
3.12,0,0,0.3037
3.12,0,0,0.6004
3.12,1,1,0.2801
3.12,10,10,0.4818
3.12,11,11,0.4904
