session,amplitude,sa,ss,pmf,presence,response_presence,reaction_time
1,9.0,0.11134,0.06606,0.91997,0,0,0.3956
1,9.0,0.12114,0.00799,0.88883,1,0,0.398
1,9.0,0.11636,0.08285,0.83042,1,1,0.3673
1,9.0,0.11579,0.02472,1.001,1,1,0.3842
1,9.0,0.12238,0.0577,0.80247,1,1,0.2489
1,9.0,0.12742,-0.02744,0.9135,0,0,0.3207
1,9.0,0.13566,0.00979,0.88881,0,1,0.2437
1,9.0,0.13722,0.00711,0.88924,1,1,0.2853
1,9.0,0.13615,-0.04227,0.82489,1,1,0.1539
1,9.0,0.13221,-0.04444,0.92012,0,0,0.3183
1,9.0,0.12589,-0.00071,0.85239,1,1,0.2003
1,9.0,0.13427,0.06004,0.97458,1,1,0.2073
1,9.0,0.13658,-0.01642,0.99213,0,1,0.2202
1,9.0,0.12179,0.11523,0.77407,0,0,0.3196
1,9.0,0.13837,-0.05633,0.96548,0,0,0.3103
1,9.0,0.13427,-0.01054,1.05333,1,1,0.2612
1,9.0,0.12921,-0.07965,1.46656,1,1,0.2403
1,9.0,0.12332,0.04325,0.89905,0,0,0.2821
1,9.0,0.14425,0.00932,2.12799,1,1,0.2015
1,9.0,0.15188,-0.01427,0.9209,0,1,0.2899
1,9.0,0.1287,0.03515,1.1652,0,0,0.3508
1,9.0,0.1306,-0.00523,0.83494,1,1,0.2233
1,9.0,0.13658,-0.02902,1.3247,1,1,0.2239
1,9.0,0.12242,0.02729,0.98846,1,0,0.2574
1,9.0,0.12277,0.01731,0.79348,1,0,0.2962
1,9.0,0.15068,-0.01087,0.88102,0,0,0.4567
1,9.0,0.14268,-0.04194,0.85215,0,0,0.4287
1,9.0,0.12072,0.04748,0.78894,0,1,0.2868
1,9.0,0.12574,0.03291,0.98271,0,0,0.2619
1,9.0,0.12974,0.06039,0.93825,1,0,0.2428
1,9.0,0.12459,0.00089,0.83499,1,1,0.2333
1,9.0,0.12457,0.00285,0.95824,0,0,0.2433
1,9.0,0.13282,-0.05783,0.91013,0,1,0.2985
1,9.0,0.13281,-0.05018,0.91072,0,0,0.3417
1,9.0,0.13159,-0.01247,0.99582,1,1,0.3541
1,9.0,0.14092,-0.04751,0.85013,0,0,0.234
1,9.0,0.12404,-0.0857,1.09053,0,0,0.1817
1,9.0,0.11412,0.05382,2.08437,1,1,0.1912
1,9.0,0.12397,0.00461,4.47633,0,0,0.1915
1,9.0,0.13155,-0.05429,0.99581,0,0,0.2493
1,9.0,0.13707,0.01724,1.01934,1,0,0.2012
